Dataset,Seed,Model,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
PC1,4,GaussianNB,0.7157082748948107,0.043478260869565216,0.125,8.0,0.08695652173913043,0.15384615384615385,13.0,0.21739130434782608,0.23809523809523808,21.0
PC1,4,平衡Logistic,0.8396914446002806,0.08695652173913043,0.2857142857142857,7.0,0.21739130434782608,0.3125,16.0,0.30434782608695654,0.25,28.0
PC1,5,LOC排序基线,0.705610098176718,0.043478260869565216,0.3333333333333333,3.0,0.13043478260869565,0.3,10.0,0.21739130434782608,0.2777777777777778,18.0
PC1,5,复杂度加权,0.6596774193548387,0.043478260869565216,0.25,4.0,0.08695652173913043,0.16666666666666666,12.0,0.21739130434782608,0.21739130434782608,23.0
PC1,5,GaussianNB,0.76781206171108,0.08695652173913043,0.15384615384615385,13.0,0.08695652173913043,0.2,10.0,0.2608695652173913,0.25,24.0
PC1,5,平衡Logistic,0.8180925666199158,0.08695652173913043,0.25,8.0,0.17391304347826086,0.2222222222222222,18.0,0.30434782608695654,0.21212121212121213,33.0
PC1,6,LOC排序基线,0.7545582047685835,0.08695652173913043,0.3333333333333333,6.0,0.21739130434782608,0.38461538461538464,13.0,0.34782608695652173,0.34782608695652173,23.0
PC1,6,复杂度加权,0.7305049088359046,0.08695652173913043,0.2857142857142857,7.0,0.21739130434782608,0.35714285714285715,14.0,0.30434782608695654,0.28,25.0
PC1,6,GaussianNB,0.7886395511921459,0.17391304347826086,0.36363636363636365,11.0,0.30434782608695654,0.4666666666666667,15.0,0.4782608695652174,0.4074074074074074,27.0
PC1,6,平衡Logistic,0.8419354838709677,0.2608695652173913,0.4,15.0,0.34782608695652173,0.26666666666666666,30.0,0.4782608695652174,0.2972972972972973,37.0
PC1,7,LOC排序基线,0.7553295932678822,0.08695652173913043,0.6666666666666666,3.0,0.30434782608695654,0.6363636363636364,11.0,0.34782608695652173,0.4444444444444444,18.0
