Dataset,Seed,FeatureGroup,AUC,Recall@10%LOC,Precision@10%LOC,InspectedModules@10%LOC,Recall@20%LOC,Precision@20%LOC,InspectedModules@20%LOC,Recall@30%LOC,Precision@30%LOC,InspectedModules@30%LOC
JM1,4,全部度量,0.720210934421345,0.02689873417721519,0.7391304347826086,23.0,0.07436708860759493,0.6025641025641025,78.0,0.13765822784810128,0.5209580838323353,167.0
JM1,5,全部度量,0.7130161928241208,0.03955696202531646,0.6756756756756757,37.0,0.08702531645569621,0.5670103092783505,97.0,0.1550632911392405,0.5130890052356021,191.0
JM1,6,全部度量,0.7027319834107052,0.028481012658227847,0.6923076923076923,26.0,0.08227848101265822,0.5977011494252874,87.0,0.1518987341772152,0.5485714285714286,175.0
JM1,7,全部度量,0.6979160659535,0.03164556962025317,0.6060606060606061,33.0,0.08860759493670886,0.5656565656565656,99.0,0.16455696202531644,0.5360824742268041,194.0
JM1,8,全部度量,0.701163521332526,0.023734177215189875,0.7894736842105263,19.0,0.07278481012658228,0.6216216216216216,74.0,0.13765822784810128,0.5240963855421686,166.0
JM1,9,全部度量,0.7118928592024452,0.03639240506329114,0.7931034482758621,29.0,0.08386075949367089,0.6625,80.0,0.14240506329113925,0.5732484076433121,157.0
PC1,0,规模度量,0.823422159887798,0.13043478260869565,0.6,5.0,0.391304347826087,0.5625,16.0,0.43478260869565216,0.38461538461538464,26.0
PC1,1,规模度量,0.767671809256662,0.21739130434782608,0.5,10.0,0.2608695652173913,0.3333333333333333,18.0,0.30434782608695654,0.19444444444444445,36.0
PC1,2,规模度量,0.7658485273492286,0.08695652173913043,0.5,4.0,0.30434782608695654,0.4375,16.0,0.30434782608695654,0.25,28.0
PC1,3,规模度量,0.826367461430575,0.043478260869565216,0.2,5.0,0.2608695652173913,0.375,16.0,0.43478260869565216,0.37037037037037035,27.0
PC1,4,规模度量,0.7948106591865358,0.043478260869565216,0.1,10.0,0.13043478260869565,0.1875,16.0,0.2608695652173913,0.2727272727272727,22.0
PC1,5,规模度量,0.7692145862552595,0.08695652173913043,0.4,5.0,0.21739130434782608,0.35714285714285715,14.0,0.30434782608695654,0.30434782608695654,23.0
PC1,6,规模度量,0.741304347826087,0.13043478260869565,0.2727272727272727,11.0,0.17391304347826086,0.21052631578947367,19.0,0.34782608695652173,0.25,32.0
PC1,7,规模度量,0.8321178120617111,0.17391304347826086,0.6666666666666666,6.0,0.2608695652173913,0.4,15.0,0.43478260869565216,0.35714285714285715,28.0
PC1,8,规模度量,0.8019635343618513,0.043478260869565216,0.14285714285714285,7.0,0.17391304347826086,0.3076923076923077,13.0,0.391304347826087,0.32142857142857145,28.0
PC1,9,规模度量,0.8255960729312763,0.08695652173913043,0.6666666666666666,3.0,0.2608695652173913,0.42857142857142855,14.0,0.34782608695652173,0.3076923076923077,26.0
PC1,0,控制复杂度,0.6717391304347826,0.043478260869565216,0.2,5.0,0.13043478260869565,0.2,15.0,0.2608695652173913,0.25,24.0
PC1,1,控制复杂度,0.6786816269284712,0.0,0.0,8.0,0.13043478260869565,0.1875,16.0,0.21739130434782608,0.19230769230769232,26.0
PC1,2,控制复杂度,0.6406732117812062,0.043478260869565216,0.125,8.0,0.08695652173913043,0.14285714285714285,14.0,0.17391304347826086,0.17391304347826086,23.0
PC1,3,控制复杂度,0.5809957924263675,0.043478260869565216,0.1,10.0,0.08695652173913043,0.10526315789473684,19.0,0.34782608695652173,0.19047619047619047,42.0
PC1,4,控制复杂度,0.6929172510518934,0.043478260869565216,0.16666666666666666,6.0,0.08695652173913043,0.14285714285714285,14.0,0.17391304347826086,0.19047619047619047,21.0
PC1,5,控制复杂度,0.6716690042075736,0.043478260869565216,0.16666666666666666,6.0,0.17391304347826086,0.3333333333333333,12.0,0.2608695652173913,0.2857142857142857,21.0
PC1,6,控制复杂度,0.5963534361851333,0.043478260869565216,0.1,10.0,0.13043478260869565,0.2,15.0,0.21739130434782608,0.18518518518518517,27.0
PC1,7,控制复杂度,0.7564516129032258,0.043478260869565216,0.16666666666666666,6.0,0.17391304347826086,0.3333333333333333,12.0,0.30434782608695654,0.35,20.0
PC1,8,控制复杂度,0.7152875175315568,0.043478260869565216,0.16666666666666666,6.0,0.08695652173913043,0.15384615384615385,13.0,0.13043478260869565,0.13043478260869565,23.0
PC1,9,控制复杂度,0.6825385694249649,0.043478260869565216,0.125,8.0,0.08695652173913043,0.16666666666666666,12.0,0.13043478260869565,0.13043478260869565,23.0
PC1,0,Halstead度量,0.7739130434782608,0.08695652173913043,0.4,5.0,0.17391304347826086,0.2222222222222222,18.0,0.391304347826087,0.2903225806451613,31.0
PC1,1,Halstead度量,0.7879382889200561,0.17391304347826086,0.4444444444444444,9.0,0.30434782608695654,0.3684210526315789,19.0,0.2608695652173913,0.17142857142857143,35.0
PC1,2,Halstead度量,0.7610098176718093,0.17391304347826086,0.6666666666666666,6.0,0.17391304347826086,0.3076923076923077,13.0,0.2608695652173913,0.24,25.0
PC1,3,Halstead度量,0.7849929873772791,0.08695652173913043,0.5,4.0,0.08695652173913043,0.13333333333333333,15.0,0.2608695652173913,0.21428571428571427,28.0
PC1,4,Halstead度量,0.7876577840112202,0.08695652173913043,0.3333333333333333,6.0,0.17391304347826086,0.3333333333333333,12.0,0.2608695652173913,0.25,24.0
PC1,5,Halstead度量,0.752945301542777,0.08695652173913043,0.5,4.0,0.30434782608695654,0.5384615384615384,13.0,0.34782608695652173,0.38095238095238093,21.0
PC1,6,Halstead度量,0.7283309957924263,0.043478260869565216,0.1111111111111111,9.0,0.17391304347826086,0.25,16.0,0.21739130434782608,0.16666666666666666,30.0
